pl_name,pl_letter,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_trandep,pl_trandur,pl_ratror,pl_ratdor,pl_imppar,disc_year,discoverymethod,disc_facility,disc_telescope,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_met,st_rotp,st_spectype,sy_snum,sy_pnum,sy_mnum,sy_dist,ra,dec,rastr,decstr,glat,glon,x,y,z,cb_flag,pl_controv_flag,tran_flag,rv_flag,ttv_flag,sy_vmag,sy_kmag,sy_gaiamag,sy_tmag,tic_id,gaia_dr3_id,star_class,planet_type,planet_subtype,habitability_score,distance_display,period_display,mass_display,radius_display,x_pc,y_pc,z_pc,distance_ly,is_habitable_zone,is_earth_like
Kepler-1167 b,b,Kepler-1167,1.71,0.15255598,3.57,0.0112,M-R relationship,3.92,1419.0,1039.697,1.003933739,0.0175,0.0,89.76,0.04911,1.4562,0.02103,5.477,0.023,2016,Transit,Kepler,0.95 m Kepler Telescope,4971.0,0.75,0.79,-0.53589,4.6,4.27,2.85817,-0.05,,,1,1,0,820.905,298.3026595,47.6939654,19h53m12.64s,+47d41m38.28s,10.23657,81.68674,0.3191317354863568,-0.5926260507254014,0.7395602067493084,0,0,1,0,0,16.047,13.663,15.9292,15.2776,TIC 273875149,Gaia DR3 2086441721667415424,,Super-Earth,Lava World,20.0,2.7k light-years,1.0 days,3.6 Earth masses,1.71 Earth radii,261.9768373194277,-486.48968817073563,607.108671521541,2677.4309117999996,False,False
Kepler-1740 b,b,Kepler-1740,3.32321414,0.29647782,11.0,0.0347,M-R relationship,1.65,858.0,127.95,8.172400475,0.0779,0.0,82.8,0.08643,3.902,0.0337,6.96,0.942,2021,Transit,Kepler,0.95 m Kepler Telescope,5705.0,0.905,0.943,-0.07942,4.499,,0.11427,-0.06,,,1,1,0,1061.77,293.873663,38.9224548,19h35m29.68s,+38d55m20.84s,8.87006,72.31602,0.3148719438364997,-0.711431630967978,0.6282680108384217,0,0,1,0,0,15.454,13.695,15.2863,14.7909,TIC 138479461,Gaia DR3 2052381737659167488,,Sub-Neptune,Mini-Neptune,0.0,3.5k light-years,8.2 days,11 Earth masses,3.3 Earth radii,334.32158380728026,-755.37676281287,667.076125867911,3463.0265612,False,False
Kepler-1581 b,b,Kepler-1581,0.8,0.07137122,0.437,0.00137,M-R relationship,4.69,1108.0,470.862,6.28385491,0.06865,0.0,89.49,0.00357,4.124,0.005669,11.49,0.101,2016,Transit,Kepler,0.95 m Kepler Telescope,6022.0,1.23,1.12,0.39085,4.31,4.17,0.43,0.07,,,1,1,0,493.175,287.3713199,39.6036225,19h09m29.12s,+39d36m13.04s,13.69395,70.69427,0.2300347881601947,-0.7353315905824944,0.6374727038293586,0,0,1,0,0,12.442,11.025,12.3525,11.9361,TIC 121215710,Gaia DR3 2100418850915010432,,Sub-Earth,Lava World,30.0,1.6k light-years,6.3 days,0.4 Earth masses,0.80 Earth radii,113.44740665090403,-362.6471571855217,314.38560071104394,1608.519853,False,True
Kepler-644 b,b,Kepler-644,3.15,0.28102418,10.1,0.0317,M-R relationship,1.78,1655.0,2381.77,3.173917103,0.04641,0.0,78.65,0.0303,3.5066,0.016354,7.03991,0.629,2016,Transit,Kepler,0.95 m Kepler Telescope,6747.0,1.81,1.49,0.71041,4.09,1.62,0.29,0.08,,,1,1,0,1318.05,295.4757022,43.4931119,19h41m54.17s,+43d29m35.20s,9.95162,76.98011,0.3120396324276108,-0.654919308331335,0.688267366195178,0,0,1,0,0,14.031,12.574,13.9601,13.5456,TIC 271669616,Gaia DR3 2078049767888231936,,Sub-Neptune,Lava World,0.0,4.3k light-years,3.2 days,10 Earth masses,3.1 Earth radii,411.2838375212124,-863.2163943461161,907.1708020135544,4298.899157999999,False,False
Kepler-1752 b,b,Kepler-1752,4.54060463,0.40508631,18.7,0.059,M-R relationship,1.1,419.0,7.29,56.35850143,0.2698,0.0,88.46,0.25596,6.927,0.056204,33.7,0.906,2021,Transit,Kepler,0.95 m Kepler Telescope,5446.0,0.821,0.824,-0.39819,4.525,7.2,0.22873,-0.2,,,1,1,0,962.888,290.8541401,51.2227435,19h23m24.99s,+51d13m21.88s,16.13825,82.71749,0.2229546340491813,-0.5852656767700424,0.7795866332556631,0,0,1,0,1,16.0249,13.999,15.796,15.2363,TIC 417655835,Gaia DR3 2136207095405014912,,Neptune-like,Ice Giant,0.0,3.1k light-years,1.9 months,19 Earth masses,4.5 Earth radii,214.6803416703481,-563.5452969737526,750.654614122279,3140.51698528,False,False
Kepler-280 c,c,Kepler-280,2.01,0.179,4.7,0.0148,M-R relationship,3.18,1088.0,279.085,4.807091,0.056,0.0,86.65,0.04505,0.901,0.0197,13.5,0.68,2014,Transit,Kepler,0.95 m Kepler Telescope,5744.0,0.886,0.962,-0.06437,4.537,5.62,1.08,0.1213,,,1,2,0,780.361,291.3905325,42.1804735,19h25m33.73s,+42d10m49.70s,12.02527,74.40417,0.2702719027963413,-0.6899881972066084,0.6714680828411872,0,0,1,0,0,14.35,12.844,14.4574,13.9604,TIC 159716174,Gaia DR3 2101761079737564672,,Sub-Neptune,Lava World,10.0,2.5k light-years,4.8 days,4.7 Earth masses,2.0 Earth radii,210.90965233805568,-538.4398795603462,523.9875045940316,2545.1942231599996,False,False
Kepler-1208 b,b,Kepler-1208,2.32,0.20697654,5.99,0.0189,M-R relationship,2.64,665.0,37.664,11.08507637,0.0901,0.0,88.44,0.07718,1.708,0.027998,29.1,0.1249,2016,Transit,Kepler,0.95 m Kepler Telescope,5001.0,0.76,0.8,-0.55349,4.59,4.47,19.93868,-0.03,,,1,1,0,825.176,291.8812445,44.5557587,19h27m31.50s,+44d33m20.73s,12.73691,76.75288,0.2655627229833081,-0.6612333950908906,0.701603048296018,0,0,1,0,0,16.256,13.788,15.9464,15.3121,TIC 63010574,Gaia DR3 2126563450717837056,,Sub-Neptune,Mini-Neptune,10.0,2.7k light-years,11.1 days,6.0 Earth masses,2.3 Earth radii,219.13598550047425,-545.6339280275208,578.945996980715,2691.36103456,False,False
Kepler-263 c,c,Kepler-263,2.47,0.22,6.66,0.021,M-R relationship,2.43,386.0,5.994,47.332773,0.242,0.0,89.8,0.09755,3.069,0.028129,129.8,0.06,2014,Transit,Kepler,0.95 m Kepler Telescope,5265.0,0.785,0.793,-0.45614,4.576,2.24,2.0,-0.0314,,,1,2,0,754.747,292.4698022,37.5677941,19h29m52.75s,+37d34m04.06s,9.22104,70.58352,0.3029413181446055,-0.7324566924798346,0.6096997223242848,0,0,1,0,0,15.435,13.548,15.4167,14.8343,TIC 137637249,Gaia DR3 2051832634677771008,,Sub-Neptune,Mini-Neptune,20.0,2.5k light-years,1.6 months,6.7 Earth masses,2.5 Earth radii,228.64405104568655,-552.8194912790776,460.16903632508695,2461.6526253199995,False,False
HD 136352 b,b,HD 136352,1.664,0.14845239,4.72,0.01485078,Mass,5.623888,905.0,111.6,11.57797,0.0964,0.0,88.49,0.0208,3.935,0.01442,19.6,0.52,2019,Radial Velocity,La Silla Observatory,3.6 m ESO Telescope,5664.0,1.058,0.87,0.0162,4.39,12.3,1.034813,-0.24,23.8,G4 V,1,3,0,14.682,230.4401147,-48.3188174,15h21m45.63s,-48d19m07.74s,7.38103,327.07069,-0.4235186197321421,-0.5126764738910851,-0.7468566206835048,0,0,1,1,0,5.65,4.159,5.48495,5.0494,TIC 136916387,Gaia DR3 5902750168276592256,G,Super-Earth,Super-Earth,40.0,47.9 light-years,11.6 days,4.7 Earth masses,1.66 Earth radii,-6.21810037490731,-7.5271159896689115,-10.965348904875217,47.88622392,False,False
Kepler-1101 b,b,Kepler-1101,2.47,0.22035864,6.66,0.021,M-R relationship,2.43,393.0,3.577,81.3151059,0.3483,0.0,89.99,0.07817,5.762,0.025338,109.53,0.1394,2016,Transit,Kepler,0.95 m Kepler Telescope,5614.0,0.91,0.94,-0.35135,4.5,4.27,3.7581,-0.04,,,1,1,0,742.473,294.5693544,45.6711623,19h38m16.65s,+45d40m16.18s,11.53493,78.63822,0.2905469129833267,-0.6355073335166895,0.7153411217051387,0,0,1,0,0,15.156,13.314,15.0958,14.5657,TIC 271163971,Gaia DR3 2080048680026646912,,Sub-Neptune,Mini-Neptune,25.0,2.4k light-years,2.7 months,6.7 Earth masses,2.5 Earth radii,215.7232381234695,-471.847036438137,531.1214686557795,2421.62023788,False,False
